Clock,sensor,dayofyear,hour,dayofweek,quarter,month,year,lag1,lag2,lag3
2022-11-18 00:00:00,0,322,0,4,4,11,2022,,,
2022-11-18 01:00:00,0,322,1,4,4,11,2022,,,
2022-11-18 02:00:00,0,322,2,4,4,11,2022,,,
2022-11-18 03:00:00,0,322,3,4,4,11,2022,,,
2022-11-18 04:00:00,0,322,4,4,4,11,2022,,,
2022-11-18 05:00:00,0,322,5,4,4,11,2022,,,
2022-11-18 06:00:00,0,322,6,4,4,11,2022,,,
2022-11-18 07:00:00,0,322,7,4,4,11,2022,,,
2022-11-18 08:00:00,0,322,8,4,4,11,2022,,,
2022-11-18 09:00:00,0,322,9,4,4,11,2022,,,
2022-11-18 10:00:00,0,322,10,4,4,11,2022,,,
2022-11-18 11:00:00,0,322,11,4,4,11,2022,,,
2022-11-18 12:00:00,0,322,12,4,4,11,2022,,,
2022-11-18 13:00:00,0,322,13,4,4,11,2022,,,
2022-11-18 14:00:00,0,322,14,4,4,11,2022,,,
2022-11-18 15:00:00,0,322,15,4,4,11,2022,,,
2022-11-18 16:00:00,0,322,16,4,4,11,2022,,,
2022-11-18 17:00:00,0,322,17,4,4,11,2022,,,
2022-11-18 18:00:00,0,322,18,4,4,11,2022,,,
2022-11-18 19:00:00,0,322,19,4,4,11,2022,,,
2022-11-18 20:00:00,0,322,20,4,4,11,2022,,,
2022-11-18 21:00:00,0,322,21,4,4,11,2022,,,
2022-11-18 22:00:00,0,322,22,4,4,11,2022,,,
2022-11-18 23:00:00,0,322,23,4,4,11,2022,,,
2022-11-19 00:00:00,0,323,0,5,4,11,2022,,,
2022-11-19 01:00:00,0,323,1,5,4,11,2022,,,
2022-11-19 02:00:00,0,323,2,5,4,11,2022,,,
2022-11-19 03:00:00,0,323,3,5,4,11,2022,,,
2022-11-19 04:00:00,0,323,4,5,4,11,2022,,,
2022-11-19 05:00:00,0,323,5,5,4,11,2022,,,
2022-11-19 06:00:00,0,323,6,5,4,11,2022,,,
2022-11-19 07:00:00,0,323,7,5,4,11,2022,,,
2022-11-19 08:00:00,0,323,8,5,4,11,2022,,,
2022-11-19 09:00:00,0,323,9,5,4,11,2022,,,
2022-11-19 10:00:00,0,323,10,5,4,11,2022,,,
2022-11-19 11:00:00,0,323,11,5,4,11,2022,,,
2022-11-19 12:00:00,0,323,12,5,4,11,2022,,,
2022-11-19 13:00:00,0,323,13,5,4,11,2022,,,
2022-11-19 14:00:00,0,323,14,5,4,11,2022,,,
2022-11-19 15:00:00,0,323,15,5,4,11,2022,,,
2022-11-19 16:00:00,0,323,16,5,4,11,2022,,,
2022-11-19 17:00:00,0,323,17,5,4,11,2022,,,
2022-11-19 18:00:00,0,323,18,5,4,11,2022,,,
2022-11-19 19:00:00,0,323,19,5,4,11,2022,,,
2022-11-19 20:00:00,0,323,20,5,4,11,2022,,,
2022-11-19 21:00:00,0,323,21,5,4,11,2022,,,
2022-11-19 22:00:00,0,323,22,5,4,11,2022,,,
2022-11-19 23:00:00,0,323,23,5,4,11,2022,,,
2022-11-20 00:00:00,0,324,0,6,4,11,2022,,,
2022-11-20 01:00:00,0,324,1,6,4,11,2022,,,
2022-11-20 02:00:00,0,324,2,6,4,11,2022,,,
2022-11-20 03:00:00,0,324,3,6,4,11,2022,,,
2022-11-20 04:00:00,0,324,4,6,4,11,2022,,,
2022-11-20 05:00:00,0,324,5,6,4,11,2022,,,
2022-11-20 06:00:00,0,324,6,6,4,11,2022,,,
2022-11-20 07:00:00,0,324,7,6,4,11,2022,,,
2022-11-20 08:00:00,0,324,8,6,4,11,2022,,,
2022-11-20 09:00:00,0,324,9,6,4,11,2022,,,
2022-11-20 10:00:00,0,324,10,6,4,11,2022,,,
2022-11-20 11:00:00,0,324,11,6,4,11,2022,,,
2022-11-20 12:00:00,0,324,12,6,4,11,2022,,,
2022-11-20 13:00:00,0,324,13,6,4,11,2022,,,
2022-11-20 14:00:00,0,324,14,6,4,11,2022,,,
2022-11-20 15:00:00,0,324,15,6,4,11,2022,,,
2022-11-20 16:00:00,0,324,16,6,4,11,2022,,,
2022-11-20 17:00:00,0,324,17,6,4,11,2022,,,
2022-11-20 18:00:00,0,324,18,6,4,11,2022,,,
2022-11-20 19:00:00,0,324,19,6,4,11,2022,,,
2022-11-20 20:00:00,0,324,20,6,4,11,2022,,,
2022-11-20 21:00:00,0,324,21,6,4,11,2022,,,
2022-11-20 22:00:00,0,324,22,6,4,11,2022,,,
2022-11-20 23:00:00,0,324,23,6,4,11,2022,,,
2022-11-21 00:00:00,0,325,0,0,4,11,2022,,,
2022-11-21 01:00:00,0,325,1,0,4,11,2022,,,
2022-11-21 02:00:00,0,325,2,0,4,11,2022,,,
2022-11-21 03:00:00,0,325,3,0,4,11,2022,,,
2022-11-21 04:00:00,0,325,4,0,4,11,2022,,,
2022-11-21 05:00:00,0,325,5,0,4,11,2022,,,
2022-11-21 06:00:00,0,325,6,0,4,11,2022,,,
2022-11-21 07:00:00,0,325,7,0,4,11,2022,,,
2022-11-21 08:00:00,0,325,8,0,4,11,2022,,,
2022-11-21 09:00:00,0,325,9,0,4,11,2022,,,
2022-11-21 10:00:00,0,325,10,0,4,11,2022,,,
2022-11-21 11:00:00,0,325,11,0,4,11,2022,,,
2022-11-21 12:00:00,0,325,12,0,4,11,2022,,,
2022-11-21 13:00:00,0,325,13,0,4,11,2022,,,
2022-11-21 14:00:00,0,325,14,0,4,11,2022,,,
2022-11-21 15:00:00,0,325,15,0,4,11,2022,,,
2022-11-21 16:00:00,0,325,16,0,4,11,2022,,,
2022-11-21 17:00:00,0,325,17,0,4,11,2022,,,
2022-11-21 18:00:00,0,325,18,0,4,11,2022,,,
2022-11-21 19:00:00,0,325,19,0,4,11,2022,,,
2022-11-21 20:00:00,0,325,20,0,4,11,2022,,,
2022-11-21 21:00:00,0,325,21,0,4,11,2022,,,
2022-11-21 22:00:00,0,325,22,0,4,11,2022,,,
2022-11-21 23:00:00,0,325,23,0,4,11,2022,,,
2022-11-22 00:00:00,0,326,0,1,4,11,2022,,,
2022-11-22 01:00:00,0,326,1,1,4,11,2022,,,
2022-11-22 02:00:00,0,326,2,1,4,11,2022,,,
2022-11-22 03:00:00,0,326,3,1,4,11,2022,,,
2022-11-22 04:00:00,0,326,4,1,4,11,2022,,,
2022-11-22 05:00:00,0,326,5,1,4,11,2022,,,
2022-11-22 06:00:00,0,326,6,1,4,11,2022,,,
2022-11-22 07:00:00,0,326,7,1,4,11,2022,,,
2022-11-22 08:00:00,0,326,8,1,4,11,2022,,,
2022-11-22 09:00:00,0,326,9,1,4,11,2022,,,
2022-11-22 10:00:00,0,326,10,1,4,11,2022,,,
2022-11-22 11:00:00,0,326,11,1,4,11,2022,,,
2022-11-22 12:00:00,0,326,12,1,4,11,2022,,,
2022-11-22 13:00:00,0,326,13,1,4,11,2022,,,
2022-11-22 14:00:00,0,326,14,1,4,11,2022,,,
2022-11-22 15:00:00,0,326,15,1,4,11,2022,,,
2022-11-22 16:00:00,0,326,16,1,4,11,2022,,,
2022-11-22 17:00:00,0,326,17,1,4,11,2022,,,
2022-11-22 18:00:00,0,326,18,1,4,11,2022,,,
2022-11-22 19:00:00,0,326,19,1,4,11,2022,,,
2022-11-22 20:00:00,0,326,20,1,4,11,2022,,,
2022-11-22 21:00:00,0,326,21,1,4,11,2022,,,
2022-11-22 22:00:00,0,326,22,1,4,11,2022,,,
2022-11-22 23:00:00,0,326,23,1,4,11,2022,,,
2022-11-23 00:00:00,0,327,0,2,4,11,2022,,,
2022-11-23 01:00:00,0,327,1,2,4,11,2022,,,
2022-11-23 02:00:00,0,327,2,2,4,11,2022,,,
2022-11-23 03:00:00,0,327,3,2,4,11,2022,,,
2022-11-23 04:00:00,0,327,4,2,4,11,2022,,,
2022-11-23 05:00:00,0,327,5,2,4,11,2022,,,
2022-11-23 06:00:00,0,327,6,2,4,11,2022,,,
2022-11-23 07:00:00,0,327,7,2,4,11,2022,,,
2022-11-23 08:00:00,0,327,8,2,4,11,2022,,,
2022-11-23 09:00:00,0,327,9,2,4,11,2022,,,
2022-11-23 10:00:00,0,327,10,2,4,11,2022,,,
2022-11-23 11:00:00,0,327,11,2,4,11,2022,,,
2022-11-23 12:00:00,0,327,12,2,4,11,2022,,,
2022-11-23 13:00:00,0,327,13,2,4,11,2022,,,
